TStamp Europe/Zagreb	X [µT]	Y [µT]	Z [µT]
1613949341145	-16.920000	-18.840000	-33.660000
1613949341165	-16.850000	-18.840000	-33.840000
1613949341186	-16.740000	-19.190001	-33.590000
1613949341206	-16.850000	-19.139999	-33.590000
1613949341226	-16.559999	-19.080000	-33.840000
1613949341246	-16.260000	-19.139999	-33.709999
1613949341265	-16.370001	-19.260000	-33.410000
1613949341286	-16.080000	-19.430000	-33.540001
1613949341305	-16.080000	-19.430000	-33.360001
1613949341326	-15.960000	-19.430000	-33.230000
1613949341346	-15.830000	-19.370001	-33.360001
1613949341365	-15.960000	-19.139999	-33.410000
1613949341385	-16.020000	-19.080000	-33.230000
1613949341405	-16.370001	-19.190001	-33.119999
1613949341425	-16.370001	-19.190001	-33.410000
1613949341446	-16.440001	-19.080000	-33.299999
1613949341466	-16.440001	-18.900000	-33.410000
1613949341486	-16.680000	-18.660000	-33.660000
1613949341505	-16.610001	-18.770000	-33.590000
1613949341525	-16.610001	-18.600000	-33.540001
1613949341545	-16.920000	-18.840000	-33.709999
1613949341565	-16.440001	-18.660000	-33.840000
1613949341585	-16.440001	-18.840000	-33.590000
1613949341606	-16.680000	-19.080000	-33.840000
1613949341626	-16.559999	-19.080000	-33.889999
1613949341646	-16.370001	-19.190001	-33.959999
1613949341665	-16.559999	-19.080000	-33.889999
1613949341685	-16.440001	-19.190001	-33.889999
1613949341705	-16.440001	-19.080000	-33.840000
1613949341725	-16.850000	-19.080000	-33.959999
1613949341745	-16.740000	-19.080000	-34.139999
1613949341766	-16.680000	-18.840000	-33.840000
1613949341786	-16.680000	-18.950001	-33.660000
1613949341806	-16.850000	-18.900000	-33.540001
1613949341825	-16.850000	-19.139999	-33.590000
1613949341845	-16.740000	-19.080000	-33.709999
1613949341865	-16.680000	-19.080000	-33.709999
1613949341885	-16.440001	-19.190001	-33.360001
1613949341906	-16.559999	-19.080000	-33.299999
1613949341926	-16.559999	-19.190001	-33.540001
1613949341946	-16.680000	-19.190001	-33.540001
1613949341966	-16.610001	-19.080000	-33.540001
1613949341986	-16.740000	-18.950001	-33.360001
1613949342006	-16.740000	-19.190001	-33.230000
1613949342026	-16.680000	-19.370001	-33.000000
1613949342046	-16.920000	-19.080000	-33.230000
1613949342066	-16.920000	-19.190001	-33.230000
1613949342086	-16.920000	-19.139999	-33.299999
1613949342106	-16.850000	-19.190001	-33.540001
