TStamp Europe/Zagreb	X [µT]	Y [µT]	Z [µT]
1613949332045	-26.820000	-10.920000	-35.389999
1613949332065	-26.879999	-10.620000	-35.820000
1613949332085	-27.299999	-10.130000	-36.000000
1613949332105	-27.420000	-9.780000	-35.820000
1613949332126	-27.480000	-9.240000	-35.930000
1613949332146	-27.420000	-9.050000	-36.000000
1613949332166	-27.590000	-8.580000	-36.000000
1613949332186	-27.900000	-7.980000	-36.049999
1613949332206	-27.780001	-7.850000	-35.820000
1613949332225	-27.959999	-7.440000	-35.700001
1613949332245	-27.959999	-6.960000	-35.700001
1613949332265	-27.959999	-6.540000	-35.750000
1613949332285	-28.200001	-6.180000	-35.750000
1613949332306	-28.379999	-5.640000	-35.700001
1613949332325	-28.500000	-5.330000	-35.750000
1613949332345	-28.620001	-5.040000	-35.700001
1613949332365	-28.850000	-4.560000	-35.750000
1613949332385	-28.799999	-4.310000	-35.459999
1613949332405	-28.980000	-4.140000	-35.389999
1613949332425	-28.980000	-3.780000	-35.340000
1613949332445	-29.090000	-3.360000	-35.209999
1613949332465	-29.219999	-2.760000	-35.209999
1613949332486	-29.219999	-2.150000	-35.209999
1613949332506	-29.400000	-1.560000	-35.209999
1613949332526	-29.219999	-1.020000	-35.389999
1613949332546	-29.459999	-0.120000	-35.930000
1613949332566	-29.459999	0.720000	-36.049999
1613949332586	-29.580000	1.380000	-36.299999
1613949332606	-29.580000	1.860000	-36.230000
1613949332626	-29.160000	2.460000	-36.299999
1613949332646	-29.090000	2.930000	-36.299999
1613949332666	-28.680000	3.240000	-36.540001
1613949332686	-28.680000	3.720000	-36.410000
1613949332705	-28.799999	3.840000	-36.119999
1613949332725	-28.559999	4.020000	-36.049999
1613949332745	-28.559999	4.620000	-36.230000
1613949332765	-28.260000	4.920000	-36.410000
1613949332785	-28.379999	5.040000	-36.410000
1613949332806	-28.379999	5.520000	-36.540001
1613949332826	-28.559999	6.060000	-36.590000
1613949332846	-28.500000	6.540000	-36.709999
1613949332866	-28.500000	7.140000	-36.959999
1613949332886	-28.559999	7.740000	-36.889999
1613949332906	-28.559999	8.040000	-36.660000
1613949332926	-28.500000	8.820000	-36.660000
1613949332946	-28.500000	9.420000	-36.590000
1613949332966	-28.379999	9.840000	-36.540001
1613949332986	-28.320000	10.380000	-36.660000
1613949333005	-28.260000	10.670000	-36.660000
1613949333025	-27.660000	11.040000	-36.360001
1613949333045	-27.180000	11.340000	-36.660000
1613949333065	-26.879999	11.750000	-36.840000
1613949333086	-26.580000	12.060000	-36.660000
1613949333105	-26.219999	12.360000	-36.660000
1613949333125	-25.680000	12.540000	-36.709999
1613949333145	-25.379999	12.660000	-36.360001
1613949333165	-25.200001	13.020000	-36.230000
1613949333185	-25.080000	13.250000	-36.360001
1613949333205	-25.200001	13.670000	-36.299999
1613949333225	-24.719999	13.740000	-36.299999
1613949333246	-24.719999	13.740000	-36.410000
1613949333266	-24.719999	13.980000	-36.410000
1613949333286	-24.719999	14.040000	-36.230000
1613949333305	-24.350000	14.340000	-36.299999
1613949333325	-24.120001	14.940000	-36.590000
1613949333345	-24.059999	15.420000	-36.299999
1613949333365	-23.700001	15.660000	-36.230000
1613949333386	-23.580000	15.830000	-36.230000
